#DELTA21, K = 1.922968
#Energy[eV]	Flux[ph/s/eV/100mA] 
100.00	0.000000E+00 
110.00	0.000000E+00 
120.00	0.000000E+00 
130.00	0.000000E+00 
140.00	0.000000E+00 
150.00	0.000000E+00 
160.00	0.000000E+00 
170.00	0.000000E+00 
180.00	0.000000E+00 
190.00	0.000000E+00 
200.00	0.000000E+00 
210.00	0.000000E+00 
220.00	0.000000E+00 
230.00	0.000000E+00 
240.00	0.000000E+00 
250.00	0.000000E+00 
260.00	0.000000E+00 
270.00	0.000000E+00 
280.00	0.000000E+00 
290.00	0.000000E+00 
300.00	0.000000E+00 
310.00	0.000000E+00 
320.00	0.000000E+00 
330.00	0.000000E+00 
340.00	0.000000E+00 
350.00	0.000000E+00 
360.00	0.000000E+00 
370.00	0.000000E+00 
380.00	0.000000E+00 
390.00	0.000000E+00 
400.00	0.000000E+00 
410.00	0.000000E+00 
420.00	0.000000E+00 
430.00	0.000000E+00 
440.00	0.000000E+00 
450.00	0.000000E+00 
460.00	0.000000E+00 
470.00	0.000000E+00 
480.00	0.000000E+00 
490.00	0.000000E+00 
500.00	0.000000E+00 
510.00	0.000000E+00 
520.00	0.000000E+00 
530.00	0.000000E+00 
540.00	0.000000E+00 
550.00	0.000000E+00 
560.00	0.000000E+00 
570.00	0.000000E+00 
580.00	0.000000E+00 
590.00	0.000000E+00 
600.00	0.000000E+00 
610.00	0.000000E+00 
620.00	0.000000E+00 
630.00	0.000000E+00 
640.00	0.000000E+00 
650.00	0.000000E+00 
660.00	0.000000E+00 
670.00	0.000000E+00 
680.00	0.000000E+00 
690.00	0.000000E+00 
700.00	0.000000E+00 
710.00	0.000000E+00 
720.00	8.679501E+10 
730.00	8.718901E+10 
740.00	8.756185E+10 
750.00	8.827492E+10 
760.00	8.873629E+10 
770.00	8.960002E+10 
780.00	9.032688E+10 
790.00	9.112429E+10 
800.00	9.229466E+10 
810.00	9.310318E+10 
820.00	9.440584E+10 
830.00	9.557371E+10 
840.00	9.682424E+10 
850.00	9.854881E+10 
860.00	9.982148E+10 
870.00	1.016572E+11 
880.00	1.035282E+11 
890.00	1.053267E+11 
900.00	1.077173E+11 
910.00	1.096607E+11 
920.00	1.122898E+11 
930.00	1.149308E+11 
940.00	1.174966E+11 
950.00	1.208939E+11 
960.00	1.237686E+11 
970.00	1.273782E+11 
980.00	1.312397E+11 
990.00	1.349446E+11 
1000.00	1.397583E+11 
1010.00	1.440826E+11 
1020.00	1.493374E+11 
1030.00	1.549654E+11 
1040.00	1.604831E+11 
1050.00	1.674712E+11 
1060.00	1.741153E+11 
1070.00	1.818811E+11 
1080.00	1.905698E+11 
1090.00	1.991682E+11 
1100.00	2.099479E+11 
1110.00	2.205200E+11 
1120.00	2.328090E+11 
1130.00	2.467347E+11 
1140.00	2.610070E+11 
1150.00	2.786884E+11 
1160.00	2.969258E+11 
1170.00	3.180712E+11 
1180.00	3.427083E+11 
1190.00	3.686462E+11 
1200.00	4.009521E+11 
1210.00	4.359137E+11 
