#Energy[eV]	Flux[ph/s/eV/100mA] 
100.00	0.000000E+00 
110.00	0.000000E+00 
120.00	0.000000E+00 
130.00	0.000000E+00 
140.00	0.000000E+00 
150.00	0.000000E+00 
160.00	0.000000E+00 
170.00	0.000000E+00 
180.00	0.000000E+00 
190.00	0.000000E+00 
200.00	0.000000E+00 
210.00	0.000000E+00 
220.00	0.000000E+00 
230.00	0.000000E+00 
240.00	0.000000E+00 
250.00	0.000000E+00 
260.00	0.000000E+00 
270.00	0.000000E+00 
280.00	0.000000E+00 
290.00	0.000000E+00 
300.00	0.000000E+00 
310.00	0.000000E+00 
320.00	0.000000E+00 
330.00	0.000000E+00 
340.00	0.000000E+00 
350.00	0.000000E+00 
360.00	0.000000E+00 
370.00	0.000000E+00 
380.00	0.000000E+00 
390.00	0.000000E+00 
400.00	0.000000E+00 
410.00	0.000000E+00 
420.00	0.000000E+00 
430.00	0.000000E+00 
440.00	0.000000E+00 
450.00	0.000000E+00 
460.00	0.000000E+00 
470.00	0.000000E+00 
480.00	0.000000E+00 
490.00	0.000000E+00 
500.00	0.000000E+00 
510.00	0.000000E+00 
520.00	0.000000E+00 
530.00	0.000000E+00 
540.00	0.000000E+00 
550.00	0.000000E+00 
560.00	0.000000E+00 
570.00	0.000000E+00 
580.00	0.000000E+00 
590.00	0.000000E+00 
600.00	0.000000E+00 
610.00	0.000000E+00 
620.00	0.000000E+00 
630.00	0.000000E+00 
640.00	0.000000E+00 
650.00	0.000000E+00 
660.00	0.000000E+00 
670.00	0.000000E+00 
680.00	0.000000E+00 
690.00	0.000000E+00 
700.00	0.000000E+00 
710.00	0.000000E+00 
720.00	0.000000E+00 
730.00	0.000000E+00 
740.00	0.000000E+00 
750.00	0.000000E+00 
760.00	0.000000E+00 
770.00	0.000000E+00 
780.00	0.000000E+00 
790.00	0.000000E+00 
800.00	0.000000E+00 
810.00	0.000000E+00 
820.00	4.643334E+10 
830.00	4.248150E+10 
840.00	4.705157E+10 
850.00	4.519030E+10 
860.00	4.383945E+10 
870.00	4.858826E+10 
880.00	4.405231E+10 
890.00	4.674192E+10 
900.00	4.874470E+10 
910.00	4.429813E+10 
920.00	5.008451E+10 
930.00	4.781545E+10 
940.00	4.667512E+10 
950.00	5.247763E+10 
960.00	4.711453E+10 
970.00	5.088601E+10 
980.00	5.321000E+10 
990.00	4.819041E+10 
1000.00	5.561538E+10 
1010.00	5.273891E+10 
1020.00	5.197153E+10 
1030.00	5.916130E+10 
1040.00	5.264076E+10 
1050.00	5.803087E+10 
1060.00	6.070255E+10 
1070.00	5.498128E+10 
1080.00	6.472318E+10 
1090.00	6.091630E+10 
1100.00	6.086405E+10 
1110.00	7.002212E+10 
1120.00	6.193909E+10 
1130.00	6.979944E+10 
1140.00	7.297708E+10 
1150.00	6.640946E+10 
1160.00	7.970596E+10 
1170.00	7.456353E+10 
1180.00	7.582775E+10 
1190.00	8.804662E+10 
1200.00	7.773533E+10 
1210.00	8.968022E+10 
1220.00	9.374533E+10 
1230.00	8.616969E+10 
